               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_1_energy_0_delta | MAE_energy_0 | MAE_energy_1 | MAE_energy_0_grad | MAE_energy_1_grad | GPU Memory (MB)
               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_1_energy_0_delta | MAE_energy_0 | MAE_energy_1 | GPU Memory (MB)
2022-06-20 19:13:56 |   137 |     1.000e-04 |     0.7901 |          1.1228 |                      0.9374 |       1.7581 |       1.7418 |            1589
2022-06-20 19:15:54 |   138 |     1.000e-04 |     0.8001 |          1.1820 |                      1.0124 |       1.5702 |       1.6394 |            1589
2022-06-20 19:17:52 |   139 |     1.000e-04 |     0.7888 |          1.2013 |                      0.9929 |       2.0985 |       1.9580 |            1589
2022-06-20 19:19:50 |   140 |     1.000e-04 |     0.7854 |          1.1048 |                      0.9127 |       1.6951 |       1.8206 |            1589
2022-06-20 19:21:48 |   141 |     1.000e-04 |     0.7754 |          1.1489 |                      0.9667 |       1.6690 |       1.7143 |            1589
2022-06-20 19:23:47 |   142 |     1.000e-04 |     0.7767 |          1.1737 |                      0.9983 |       1.5376 |       1.6997 |            1589
2022-06-20 19:25:46 |   143 |     1.000e-04 |     0.7736 |          1.0298 |                      0.8365 |       1.7994 |       1.8518 |            1589
2022-06-20 19:27:45 |   144 |     1.000e-04 |     0.7584 |          1.1006 |                      0.9102 |       1.7296 |       1.7292 |            1589
2022-06-20 19:29:44 |   145 |     1.000e-04 |     0.7589 |          1.1222 |                      0.9276 |       1.8889 |       1.8107 |            1589
2022-06-20 19:31:44 |   146 |     1.000e-04 |     0.7736 |          1.0876 |                      0.9013 |       1.7938 |       1.7768 |            1589
2022-06-20 19:33:42 |   147 |     1.000e-04 |     0.7679 |          1.1240 |                      0.9451 |       1.7700 |       1.7192 |            1589
2022-06-20 19:35:41 |   148 |     1.000e-04 |     0.7831 |          1.0836 |                      0.8983 |       1.7304 |       1.7544 |            1589
2022-06-20 19:37:40 |   149 |     1.000e-04 |     0.7779 |          1.1416 |                      0.9378 |       1.9688 |       1.9249 |            1589
2022-06-20 19:39:38 |   150 |     1.000e-04 |     0.7565 |          1.0877 |                      0.8987 |       1.7877 |       1.7573 |            1589
2022-06-20 19:41:38 |   151 |     1.000e-04 |     0.7771 |          1.2043 |                      1.0040 |       1.9508 |       1.8421 |            1589
2022-06-20 19:43:37 |   152 |     1.000e-04 |     0.7533 |          1.0962 |                      0.9112 |       1.7191 |       1.8004 |            1589
2022-06-20 19:45:36 |   153 |     1.000e-04 |     0.7462 |          1.0529 |                      0.8589 |       1.8261 |       1.8871 |            1589
2022-06-20 19:47:36 |   154 |     1.000e-04 |     0.7491 |          1.1440 |                      0.9727 |       1.6681 |       1.6041 |            1589
2022-06-20 19:49:35 |   155 |     1.000e-04 |     0.7415 |          1.1855 |                      0.9949 |       1.8664 |       1.7730 |            1589
2022-06-20 19:51:34 |   156 |     1.000e-04 |     0.7511 |          1.1369 |                      0.9451 |       1.8106 |       1.8502 |            1589
2022-06-20 19:53:33 |   157 |     1.000e-04 |     0.7496 |          1.0990 |                      0.9189 |       1.7188 |       1.6883 |            1589
2022-06-20 19:55:32 |   158 |     1.000e-04 |     0.7704 |          1.0926 |                      0.9062 |       1.7442 |       1.7223 |            1589
2022-06-20 19:57:32 |   159 |     1.000e-04 |     0.7537 |          1.0605 |                      0.8762 |       1.7243 |       1.7877 |            1589
2022-06-20 19:59:30 |   160 |     1.000e-04 |     0.7297 |          1.0837 |                      0.9127 |       1.6226 |       1.6417 |            1589
2022-06-20 20:01:29 |   161 |     1.000e-04 |     0.7504 |          1.0665 |                      0.8840 |       1.7195 |       1.7542 |            1589
2022-06-20 20:03:29 |   162 |     1.000e-04 |     0.7400 |          1.0823 |                      0.9028 |       1.7267 |       1.7388 |            1589
2022-06-20 20:05:27 |   163 |     1.000e-04 |     0.7359 |          1.1112 |                      0.9195 |       1.7663 |       1.8026 |            1589
2022-06-20 20:07:27 |   164 |     1.000e-04 |     0.7357 |          1.0340 |                      0.8554 |       1.6696 |       1.6861 |            1589
2022-06-20 20:09:27 |   165 |     1.000e-04 |     0.7489 |          1.1339 |                      0.9504 |       1.7115 |       1.7703 |            1589
2022-06-20 20:11:25 |   166 |     1.000e-04 |     0.7311 |          1.0656 |                      0.8688 |       1.9064 |       1.8921 |            1589
2022-06-20 20:13:24 |   167 |     1.000e-04 |     0.7428 |          1.1214 |                      0.9356 |       1.7837 |       1.7475 |            1589
2022-06-20 20:15:23 |   168 |     1.000e-04 |     0.7383 |          1.0428 |                      0.8599 |       1.7609 |       1.7678 |            1589
2022-06-20 20:17:23 |   169 |     1.000e-04 |     0.7337 |          1.0298 |                      0.8499 |       1.7623 |       1.7106 |            1589
2022-06-20 20:19:22 |   170 |     1.000e-04 |     0.7282 |          1.0891 |                      0.9053 |       1.7516 |       1.7696 |            1589
2022-06-20 20:21:22 |   171 |     1.000e-04 |     0.7296 |          1.0080 |                      0.8131 |       1.9242 |       1.8623 |            1589
2022-06-20 20:23:21 |   172 |     1.000e-04 |     0.7136 |          1.0733 |                      0.8857 |       1.7401 |       1.7493 |            1589
2022-06-20 20:25:20 |   173 |     1.000e-04 |     0.7245 |          1.0490 |                      0.8732 |       1.7199 |       1.6389 |            1589
2022-06-20 20:27:20 |   174 |     1.000e-04 |     0.7370 |          1.0120 |                      0.8452 |       1.5905 |       1.6085 |            1589
2022-06-20 20:29:19 |   175 |     1.000e-04 |     0.7208 |          1.0673 |                      0.8873 |       1.6982 |       1.7680 |            1589
2022-06-20 20:31:17 |   176 |     1.000e-04 |     0.7173 |          1.1016 |                      0.9201 |       1.7083 |       1.7200 |            1589
2022-06-20 20:33:16 |   177 |     1.000e-04 |     0.7112 |          1.0184 |                      0.8407 |       1.6915 |       1.7137 |            1589
2022-06-20 20:35:14 |   178 |     1.000e-04 |     0.7312 |          1.0913 |                      0.9175 |       1.6721 |       1.6372 |            1589
2022-06-20 20:37:12 |   179 |     1.000e-04 |     0.7273 |          1.0177 |                      0.8406 |       1.6369 |       1.7108 |            1589
2022-06-20 20:39:11 |   180 |     1.000e-04 |     0.7188 |          1.0914 |                      0.8505 |       2.3292 |       2.2969 |            1589
2022-06-20 20:41:11 |   181 |     1.000e-04 |     0.7025 |          1.0354 |                      0.8618 |       1.6727 |       1.6864 |            1589
2022-06-20 20:43:10 |   182 |     1.000e-04 |     0.7043 |          1.0817 |                      0.8575 |       2.1350 |       2.2302 |            1589
2022-06-20 20:45:10 |   183 |     1.000e-04 |     0.7138 |          1.1317 |                      0.9412 |       1.7687 |       1.9189 |            1589
2022-06-20 20:47:09 |   184 |     1.000e-04 |     0.7084 |          1.1247 |                      0.9454 |       1.6366 |       1.7570 |            1589
2022-06-20 20:49:09 |   185 |     1.000e-04 |     0.7040 |          1.1690 |                      0.9567 |       2.0166 |       2.1096 |            1589
2022-06-20 20:51:08 |   186 |     1.000e-04 |     0.7086 |          1.1429 |                      0.9260 |       2.0743 |       2.1612 |            1589
2022-06-20 20:53:07 |   187 |     1.000e-04 |     0.7030 |          1.0188 |                      0.8409 |       1.7108 |       1.7600 |            1589
2022-06-20 20:55:06 |   188 |     1.000e-04 |     0.6961 |          1.1066 |                      0.8989 |       2.0041 |       2.0342 |            1589
2022-06-20 20:57:06 |   189 |     1.000e-04 |     0.6965 |          1.0908 |                      0.9148 |       1.6516 |       1.7687 |            1589
2022-06-20 20:59:05 |   190 |     1.000e-04 |     0.6912 |          1.0490 |                      0.8633 |       1.7953 |       1.7940 |            1589
2022-06-20 21:01:04 |   191 |     1.000e-04 |     0.7047 |          1.1445 |                      0.9559 |       1.8305 |       1.8037 |            1589
2022-06-20 21:03:02 |   192 |     1.000e-04 |     0.6897 |          1.0307 |                      0.8476 |       1.7053 |       1.7575 |            1589
2022-06-20 21:05:00 |   193 |     1.000e-04 |     0.6993 |          1.0152 |                      0.8369 |       1.7119 |       1.7332 |            1589
2022-06-20 21:06:59 |   194 |     1.000e-04 |     0.6841 |          1.2030 |                      1.0216 |       1.8688 |       1.7313 |            1589
2022-06-20 21:08:59 |   195 |     1.000e-04 |     0.6840 |          1.0285 |                      0.8570 |       1.6466 |       1.5837 |            1589
